LOCATION_CODE,LOCATION_NAME,PRIMARY_ADDRESS_LINE_1,STATE_CODE,PRINCIPAL_PHONE_NUMBER,Location 1
84X202,Jane Addams High School for Academic Careers,900 Tinton Ave,NY,"",Bronx 10456
09X594,New Pathways Academy,1000 Teller Ave,NY,"",Bronx 10456
09X593,South Bronx International,1000 Teller Ave,NY,"",Bronx 10456
17K036,PS 36,2045 Linden Boulevard,NY,"",Brooklyn 11207
55L191,KAGK The Jewish Center for Special Education,2221 Avenue R,NY,"",Brooklyn 11229
84Q385,QCPP Elm Community Charter School,79-17 51st Avenue Elmhurst,NY,"",Queens 11373
55N208,MAHS Saint Stephen of Hungary,408 East 82nd Street,NY,"",Manhattan 10028
26Q376,PS 376Q,210-21 48th Ave Bayside,NY,"",Queens 11364

